WRD_ID,Common_Name,CONSTITUENT STANDARDIZED,SAMP_DATE,SAMP_TIME,STORET,METHOD,FLAG,VALUE,TXT_VALUE,DL,MDL,UNITS,LAB_ID,SAMP_ID,REPORT_ID,PROCESSED_DATE
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-11-03,08:45:00,39390,EPA 505,<,0.01,ND,0.01,"0.0050",ug/L,9590,202111030466,967759,2022-01-20
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-12-08,06:30:00,39390,EPA 505,<,0.01,ND,0.01,"0.0050",ug/L,9590,202112081030,973808,2022-02-09
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2022-01-19,07:40:00,39390,EPA 505,<,0.01,ND,0.01,"0.0050",ug/L,9590,202201191519,981651,2022-03-10
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2022-02-09,07:50:00,39390,EPA 505,<,0.01,ND,0.01,"0.0050",ug/L,9590,202202091094,986364,2022-04-04
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2022-03-02,07:45:00,39390,EPA 505,<,0.01,ND,0.01,"0.0050",ug/L,9590,202203020934,990472,2022-04-15
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2019-05-02,11:48:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,201905020494,802853,2019-05-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2019-10-16,08:45:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,201910160227,833390,2019-11-12
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2020-02-12,08:15:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,202002120434,854515,2020-02-27
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2020-04-22,09:53:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,202004220714,867308,2020-05-12
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2020-08-12,09:00:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,202008120392,886762,2020-09-02
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2020-10-28,09:10:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,202010280435,900652,2020-11-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2021-02-10,09:30:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,202102100522,918092,2021-03-01
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2021-04-21,09:30:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,202104210508B,930773,2021-05-28
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2021-08-04,09:15:00,34366,EPA 525.2,<,0.1,ND,0.1,0.084,ug/L,9590,202108040689,950433,2021-08-31
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2021-10-13,08:30:00,34366,EPA 525.2,<,0.1,ND,0.1,"0.084",ug/L,9590,202110140046,963809,2021-11-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin Aldehyde,2022-02-16,08:15:00,34366,EPA 525.2,<,0.1,ND,0.1,"0.070",ug/L,9590,202202161089,987941,2022-03-23
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-05-02,11:48:00,WRD95,LC-MS-MS,<,5,ND,5,4.4,ng/L,9590,201905020494,802853,2019-05-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-05-17,06:14:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201905170513,805844,2019-06-04
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-05-22,06:25:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201905220602,806664,2019-06-11
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-05-29,06:25:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201905170435,807667,2019-06-12
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-06-05,06:42:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201905230500,808936,2019-06-18
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-06-12,14:50:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201905230573,810262,2019-06-25
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-06-20,12:00:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201905230642,811865,2019-07-02
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-06-25,08:05:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201906250460,812549,2019-07-02
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-07-05,09:05:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201905280022,814290,2019-07-22
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-07-13,08:50:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201907150447,815893,2019-08-12
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-07-29,11:35:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201907290462,818510,2019-08-19
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2019-10-16,08:45:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,201910160227,833390,2019-11-12
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2020-02-12,08:15:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,202002120434,854515,2020-02-27
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2020-04-22,09:53:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,202004220714,867308,2020-05-12
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2020-08-12,09:00:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,202008120392,886762,2020-09-02
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2020-10-28,09:10:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,202010280435,900652,2020-11-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2021-02-10,09:30:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,202102100522,918092,2021-03-01
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2021-04-21,09:30:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,202104210508,930773,2021-05-28
570088,GRIP-AWTF Finished Water to Spreading Ground,Estradiol,2021-08-04,09:15:00,WRD95,LC-MS-MS,<,10,ND,10,4.4,ng/L,9590,202108040689,950433,2021-08-31
